rank,grade,usernme,uploads,subscribers,top_views
380,A ,Planeta das Gêmeas,601,13.1M,3494919835
381,A ,Kids Fun,1063,13M,3484723233
382,D- ,LEGENDA FUNK,5055,13M,2819953055
383,B+ ,Shidory Drawblogs,256,13M,1389430172
384,A ,Stubborn Facts,192,13M,586369642
385,D- ,Canal Nostalgia,329,13M,1141278208
386,D- ,Calon Sarjana,29,13M,11046741
387,A- ,NickiMinajAtVEVO,64,13M,7045990602
388,A- ,Lachlan,3351,12.9M,3941627689
389,A ,Aditya Movies,4038,12.9M,4162170505
390,A ,Fueled By Ramen,1146,12.9M,10373778375
391,A- ,Mariale,1095,12.9M,1395155854
392,A ,Preston,3655,12.9M,4097492454
393,A ,Zee News,108324,12.9M,3454134303
394,A- ,Marmok,288,12.8M,2052962651
395,B+ ,les boys tv2,171,12.8M,3799869487
396,B+ ,Kurt Hugo Schneider,534,12.8M,3218963828
397,A ,FitDance,1584,12.8M,4444857740
398,A ,SIS vs BRO,346,12.8M,5569062142
399,A ,KBS World,42403,12.8M,8928996964
400,A ,Enes Batur,1852,12.8M,6474993149
401,B ,SAM SMITH,22,12.8M,111253718
402,A ,Kwebbelkop,4279,12.7M,5140159307
403,A- ,REACT,1828,12.7M,4393329832
404,A ,GRAMMY GOLD OFFICIAL,3889,12.7M,11800025459
405,B ,Jennifer Lopez,136,12.7M,266321963
406,A ,Tlnovelas,16809,12.7M,6683181590
407,A- ,VICE,2993,12.7M,2816092325
408,A- ,The Game Theorists,493,12.6M,2358779904
409,A- ,PDK Films,143,12.6M,2916000356
410,A ,Познаватель,377,12.6M,5087050248
411,A- ,AdMe.ru - Сайт о творче…,2996,12.5M,2598514362
412,B ,Matheus Yurley,221,12.4M,664638565
413,A ,Diana Kids Stories,170,12.4M,4007432378
414,A ,Brent Rivera,348,12.4M,2149064743
415,A- ,Antrax,416,12.4M,1823666008
416,A ,Gato Galactico,1232,12.4M,3392576893
417,A- ,Parafernalha,900,12.4M,3817321143
418,B+ ,Lindsey Stirling,133,12.4M,2897613599
419,A ,Diana Bebe,183,12.4M,3354769673
420,A ,El Reino a Jugar,499,12.4M,6163757684
421,A- ,Cardi B,39,12.4M,3776954871
422,A ,BabyBus - Canciones Infantiles & C…,586,12.4M,5260036814
423,A- ,Hear This Music,33,12.4M,6395728165
424,A- ,The King of Random,1136,12.3M,2904486066
425,A- ,XpressTV,380,12.3M,2414113084
426,A- ,CalvinHarrisVEVO,143,12.3M,11809673393
427,A ,ChrisBrownVEVO,245,12.3M,9560798330
428,A- ,Voot Kids,1437,12.3M,3454072479
429,A- ,H2ODelirious,2119,12.3M,3328552700
430,B+ ,Мастерская Настро�…,578,12.3M,2753534056
431,A ,""">League of Legends",1085,12.3M,4018099872
432,A- ,BIGBANG,773,12.2M,5812549511
433,B+ ,iTownGamePlay *Terror&Diversión*,6079,12.2M,3828619110
434,A- ,Jason Derulo,259,12.2M,6136747778
435,A- ,MrSuicideSheep,2582,12.2M,5493873719
436,A ,حِرف إبداعية في 5 د�…,3109,12.2M,3025547405
437,A- ,Super Polina,393,12.1M,3638279518
438,A- ,Dr. Vivek Bindra: Motivational Spe…,456,12.1M,718103613
439,A- ,Rosanna Pansino,753,12.1M,3065679928
440,A- ,NORMAN FAIT DES VIDÉOS,181,12.1M,2420730971
441,A ,Queen Official,822,12.1M,6232421031
442,A ,toyorbabytv,656,12.1M,7560824111
443,A ,Crafty Panda,248,12M,2866198242
444,A- ,Blossom,321,12M,3336171253
445,B+ ,CaseyNeistat,1030,12M,2803388384
446, ,Machinima,--,12M,-- 
447,A- ,MAIKI021,1572,12M,1465900414
448,A ,StarPlus,9592,12M,4360776633
449,A- ,حقائق وأسرار,907,11.9M,1652254367
450,A ,Masha e o Urso,410,11.9M,3812826369
451,D- ,Everson Zoio,409,11.9M,796268230
452,A- ,F2Freestylers - Ultimate Soccer Sk…,665,11.9M,2460320262
